date,气压(Pa）,云量,10米风速（10m/s）,温度（K）,100m风速（100m/s）
2022/1/3 0:00,102249.6094,0.0078125,7.7041,286.0695,9.082
2022/1/3 0:15,102252.0355,0.00092389,7.771,285.8647,9.1374
2022/1/3 0:30,102248.59,0.003009,7.8272,285.6935,9.1856
2022/1/3 0:45,102240.4725,0.011402,7.8637,285.5512,9.2158
2022/1/3 1:00,102228.8828,0.023438,7.8781,285.433,9.2237
2022/1/3 1:15,102215.0207,0.036449,7.8719,285.3341,9.209
2022/1/3 1:30,102200.0858,0.047772,7.8483,285.25,9.1734
2022/1/3 1:45,102185.278,0.05474,7.8117,285.1757,9.1197
2022/1/3 2:00,102171.7969,0.054688,7.7663,285.1067,9.0509
2022/1/3 2:15,102160.5109,0.046149,7.7156,285.0389,8.9697
2022/1/3 2:30,102150.9623,0.032465,7.6582,284.9711,8.8762
2022/1/3 2:45,102142.3624,0.018172,7.5916,284.9032,8.77
2022/1/3 3:00,102133.9219,0.0078125,7.5134,284.8346,8.6504
2022/1/3 3:15,102125.1187,0.004661,7.4202,284.7653,8.5159
2022/1/3 3:30,102116.4974,0.00694,7.3074,284.6964,8.3634
2022/1/3 3:45,102108.8697,0.011608,7.17,284.6293,8.1894
2022/1/3 4:00,102103.0469,0.015625,7.0033,284.5653,7.9908
2022/1/3 4:15,102099.6903,0.016628,6.8076,284.5064,7.7689
2022/1/3 4:30,102098.8604,0.014971,6.6014,284.4565,7.5417
2022/1/3 4:45,102100.4675,0.011688,6.4068,284.42,7.3304
2022/1/3 5:00,102104.4219,0.0078125,6.2446,284.4013,7.1545
2022/1/3 5:15,102110.5429,0.0042679,6.1288,284.4033,7.027
2022/1/3 5:30,102118.2866,0.0015363,6.0486,284.4213,6.9371
2022/1/3 5:45,102127.0178,0,5.9879,284.4493,6.8692
2022/1/3 6:00,102136.1016,0,5.9306,284.481,6.8077
2022/1/3 6:15,102145.0564,0.0017011,5.8636,284.5111,6.7395
2022/1/3 6:30,102154.0148,0.0042746,5.7832,284.5388,6.66
2022/1/3 6:45,102163.2627,0.0066639,5.6887,284.5641,6.5674
2022/1/3 7:00,102173.0859,0.0078125,5.5806,284.5869,6.4618
2022/1/3 7:15,102183.6313,0.0069941,5.4634,284.6084,6.3468
2022/1/3 7:30,102194.4882,0.0048029,5.3449,284.6342,6.2282
2022/1/3 7:45,102205.1068,0.0021634,5.2287,284.671,6.1062
2022/1/3 8:00,102214.9375,0,5.1111,284.7256,5.9726
2022/1/3 8:15,102223.551,0,4.9859,284.8034,5.8189
2022/1/3 8:30,102231.0012,0,4.8611,284.9054,5.6577
2022/1/3 8:45,102237.4625,0,4.7519,285.0314,5.5114
2022/1/3 9:00,102243.1094,0,4.6752,285.1812,5.4046
2022/1/3 9:15,102247.86,0.00026552,4.643,285.3524,5.3549
2022/1/3 9:30,102250.6075,0.00027472,4.6444,285.5344,5.3482
2022/1/3 9:45,102249.9887,0.00014656,4.663,285.7143,5.3626
2022/1/3 10:00,102244.6406,0,4.6829,285.8794,5.3764
2022/1/3 10:15,102233.6067,0,4.6917,286.0198,5.3728
2022/1/3 10:30,102217.5572,0,4.6885,286.1374,5.3529
2022/1/3 10:45,102197.5689,0,4.6744,286.2369,5.3213
2022/1/3 11:00,102174.7188,0,4.649,286.3233,5.2808
2022/1/3 11:15,102149.9726,1.91E-05,4.6123,286.4001,5.2336
2022/1/3 11:30,102123.8523,1.97E-05,4.5714,286.4661,5.185
2022/1/3 11:45,102096.7687,1.05E-05,4.5368,286.519,5.1434
2022/1/3 12:00,102069.1328,0,4.5212,286.5566,5.1195
2022/1/3 12:15,102041.402,0,4.5361,286.577,5.1239
2022/1/3 12:30,102014.2202,0,4.5785,286.5812,5.156
2022/1/3 12:45,101988.2779,0,4.6376,286.5707,5.2087
2022/1/3 13:00,101964.2656,0,4.6989,286.5469,5.2716
2022/1/3 13:15,101942.8428,1.36E-06,4.7487,286.5121,5.3343
2022/1/3 13:30,101924.5451,1.40E-06,4.7883,286.4711,5.3977
2022/1/3 13:45,101909.8772,7.41E-07,4.8225,286.4294,5.4638
2022/1/3 14:00,101899.3438,0,4.8558,286.3926,5.533
2022/1/3 14:15,101893.1328,0,4.8917,286.3656,5.6046
2022/1/3 14:30,101890.1666,0,4.93,286.3502,5.6755
2022/1/3 14:45,101889.0506,0,4.9712,286.3475,5.7442
2022/1/3 15:00,101888.3906,0,5.0172,286.3586,5.8109
2022/1/3 15:15,101887.1611,0,5.0696,286.3836,5.8769
2022/1/3 15:30,101885.812,0,5.125,286.4186,5.9425
2022/1/3 15:45,101885.1624,0,5.1781,286.4584,6.007
2022/1/3 16:00,101886.0313,0,5.223,286.498,6.0687
2022/1/3 16:15,101889.0635,3.94E-07,5.2544,286.5331,6.1253
2022/1/3 16:30,101894.2084,7.62E-07,5.2737,286.5626,6.1762
2022/1/3 16:45,101901.2413,7.48E-07,5.2849,286.586,6.2219
2022/1/3 17:00,101909.9375,0,5.293,286.6031,6.2636
2022/1/3 17:15,101920.1428,0,5.3048,286.6131,6.3058
2022/1/3 17:30,101931.9851,0,5.3312,286.6144,6.3607
2022/1/3 17:45,101945.663,0,5.3819,286.6049,6.4409
2022/1/3 18:00,101961.375,0,5.464,286.5828,6.5569
2022/1/3 18:15,101979.0366,5.86E-06,5.5777,286.5477,6.712
2022/1/3 18:30,101997.4313,1.10E-05,5.7037,286.5059,6.8878
2022/1/3 18:45,102015.0595,1.06E-05,5.819,286.4652,7.0618
2022/1/3 19:00,102030.4219,0,5.9023,286.4336,7.2121
2022/1/3 19:15,102042.434,0,5.9395,286.4169,7.3232
2022/1/3 19:30,102051.6727,0,5.9432,286.4131,7.4016
2022/1/3 19:45,102059.1296,0,5.9314,286.4182,7.4592
2022/1/3 20:00,102065.7969,0,5.9219,286.428,7.5079
2022/1/3 20:15,102072.4159,8.16E-05,5.9269,286.4388,7.5566
2022/1/3 20:30,102078.7267,0.00015302,5.9403,286.4477,7.6034
2022/1/3 20:45,102084.2192,0.0001479,5.952,286.452,7.6439
2022/1/3 21:00,102088.3828,0,5.9527,286.449,7.674
