date,Temperature (C),Apparent Temperature (C),Humidity,Visibility (km),Pressure (millibars),Wind Speed (km/h)
2006/1/1 0:00,0.577777778,-4.05,0.89,9.982,1016.66,17.1143
2006/1/1 1:00,1.161111111,-3.238888889,0.85,9.9015,1016.15,16.6152
2006/1/1 2:00,1.666666667,-3.155555556,0.82,9.9015,1015.87,20.2538
2006/1/1 3:00,1.711111111,-2.194444444,0.82,9.9015,1015.56,14.49
2006/1/1 4:00,1.183333333,-2.744444444,0.86,9.9015,1014.98,13.9426
2006/1/1 5:00,1.205555556,-3.072222222,0.85,9.982,1014.08,15.9068
2006/1/1 6:00,2.222222222,-2.494444444,0.79,10.0464,1013.93,20.5597
2006/1/1 7:00,2.072222222,-3.272222222,0.81,10.0303,1013.24,25.4219
2006/1/1 8:00,2.2,-2.85,0.8,11.2056,1013.19,23.1679
2006/1/1 9:00,2.733333333,-2.133333333,0.82,9.982,1013.29,22.8781
2006/1/1 10:00,2.788888889,-1.905555556,0.83,9.982,1013.42,21.6062
2006/1/1 11:00,3.822222222,-0.738888889,0.82,9.982,1012.72,22.7976
2006/1/1 12:00,4.911111111,0.805555556,0.77,11.2056,1012,21.4452
2006/1/1 13:00,6.205555556,2.238888889,0.76,10.3523,1011.18,23.4094
2006/1/1 14:00,7.438888889,3.677777778,0.72,11.2056,1010.49,24.8423
2006/1/1 15:00,6.95,2.811111111,0.74,11.2056,1010.29,27.5954
2006/1/1 16:00,5.972222222,2.388888889,0.81,11.3183,1010.22,19.32
2006/1/1 17:00,5.905555556,2.25,0.8,11.1251,1010.15,19.7869
2006/1/1 18:00,4.955555556,0.383333333,0.86,11.1251,1009.76,25.9371
2006/1/1 19:00,5.472222222,1.1,0.83,10.9158,1009.55,25.4058
2006/1/1 20:00,5.972222222,1.861111111,0.8,11.27,1009.39,24.2305
2006/1/1 21:00,4.933333333,0.555555556,0.86,15.7297,1009.43,23.9407
2006/1/1 22:00,5.472222222,1.377777778,0.87,14.7959,1009.51,22.7171
2006/1/1 23:00,5.422222222,1.666666667,0.86,15.6492,1009.64,19.5615
2006/1/2 0:00,5.422222222,2.494444444,0.86,15.6492,1009.6,13.6689
2006/1/2 1:00,2.35,-1.55,0.91,5.313,1014.72,15.295
2006/1/2 2:00,5.422222222,2.022222222,0.8,15.5526,1009.1,16.8245
2006/1/2 3:00,5.905555556,2.277777778,0.8,15.5526,1008.91,19.5615
2006/1/2 4:00,5.966666667,2.405555556,0.8,14.7637,1008.52,19.1268
2006/1/2 5:00,5.95,1.944444444,0.77,10.9802,1008,23.0552
2006/1/2 6:00,5.95,1.683333333,0.77,10.9802,1007.82,25.7278
2006/1/2 7:00,6.733333333,2.844444444,0.74,11.2378,1008.1,24.1339
